S.No.,Name,SubSector,MarketCap,ClosePrice,PERatio,Y5Growth,Alpha,Beta
1,Tata Consultancy Services Ltd,IT Services & Consulting,1402458.34,3791.4,43.25,8.41,14.6,1.07
2,HDFC Bank Ltd,Private Banks,868459.17,1568.6,27.28,15.95,0.49,1.03
3,Infosys Ltd,IT Services & Consulting,711889.29,1691.6,36.79,9.39,20.92,0.98
4,Hindustan Unilever Ltd,FMCG - Household Products,660387.87,2810.65,82.6,7.77,13.92,1
5,Bharti Airtel Ltd,Telecom Services,376613.19,686.15,-24.97,1.73,15.98,1.07
6,Wipro Ltd,IT Services & Consulting,361712.66,662.35,33.5,3.57,25.38,0.54
7,Kotak Mahindra Bank Ltd,Private Banks,360994.98,1817.85,36.13,15.18,0.27,0.8
8,HCL Technologies Ltd,IT Services & Consulting,325246.33,1198.55,29.18,18.98,17.87,0.92
9,Asian Paints Ltd,Paints,320981.15,3346.35,102.25,5.97,25.22,0.86
10,Avenue Supermarts Ltd,Retail - Department Stores,255903.39,3950.5,232.75,21.49,24.54,1.04
11,UltraTech Cement Ltd,Cement,229035.68,7939.65,41.92,12.23,10.98,0.43
12,Nestle India Ltd,FMCG - Foods,197239.56,20457.2,94.72,10.25,16.89,0.33
13,Sun Pharmaceutical Industries Ltd,Pharmaceuticals,186260.37,776.3,64.14,3.35,1.9,0.8
14,Titan Company Ltd,"Precious Metals, Jewellery & Watches",180602.34,2034.3,185.61,13.98,16.09,0.82
15,JSW Steel Ltd,Iron & Steel,165855.18,688.95,20.97,14.03,5.76,0.87
16,HDFC Life Insurance Company Ltd,Insurance,149087.48,737.35,109.55,31.58,9.76,0.57
17,Hindustan Zinc Ltd,Mining - Diversified,139357.35,329.45,17.46,7.61,2.57,1
18,Tech Mahindra Ltd,IT Services & Consulting,138925.66,1433.25,31.37,7.48,15.24,1.03
19,Divi's Laboratories Ltd,Labs & Life Sciences Services,134191.71,5054.9,67.63,12.66,39.01,0.73
20,Pidilite Industries Ltd,Diversified Chemicals,119327.12,2348.25,105.49,6.27,17.45,0.77
21,SBI Life Insurance Company Ltd,Insurance,117342.55,1173.2,80.6,33.59,12.55,0.51
22,Godrej Consumer Products Ltd,FMCG - Personal Products,113425.62,1109.25,65.91,5.53,2.58,0.19
23,Dabur India Ltd,FMCG - Personal Products,112842.28,638.3,66.64,4.07,5.46,0.92
24,Shree Cement Ltd,Cement,110664.53,30671.35,48.41,17.65,7.62,0.88
